,respaldo,balanceo de carga,disponibilidad,replicación,arbitrar,votación,sustitución,exportar,actualizar,nota
1056c39c8300ac26304ad7463f5ea8ce,0,0,1,1,1,1,0,0,0,1.0
dde1a2be8c3e40859868f7c68c4a74ef,0,0,0,0,0,0,0,0,0,0.0
56b47fc533b4f14267f5887cb9103b05,1,0,1,0,0,0,1,0,0,0.62
2e7405e83d52a3f78f50c8ca6f16d961,1,0,1,0,0,0,0,0,0,0.75
b5b1b7329e33e1ba1459273adae97e78,0,0,1,0,1,0,0,0,1,0.88
d0d16cf33b031602f1b818a8190fc59f,1,0,1,1,1,0,0,0,0,0.56
f4d0bf14886ef288809047c1c7bce5ce,0,0,1,0,1,1,1,1,1,1.0
2fae60a0028014899d19e2620486f7f9,1,0,0,0,0,0,0,1,0,0.8
197202cada30464d0dccd61b6d0ba4db,0,0,0,0,0,0,0,0,1,0.69
268eaada61847dfd6089191ed7070fdc,1,0,1,0,0,0,0,0,0,0.35
bf874991ff0fbd29b5f87482957af4ea,1,0,1,0,1,0,0,0,0,0.85
5285e5cfba9e640542c862d94a89ba87,1,1,1,1,1,1,0,0,0,1.0
053db5667b1dcc66a2f7b9c7cd192b3b,1,0,1,0,1,0,0,1,1,0.85
bc0ec2cd7a91c72da74e5d7a4ec67a9e,0,0,1,1,1,0,0,0,1,0.69
eb9121746ee55b359a9eefa8f6378365,0,0,1,0,1,0,0,1,1,0.7
ae794d3bacbf6e4d1400ed681e9cd8dd,0,0,1,1,1,0,0,1,1,0.65
b5372c107dc97e91722398e3a9b57f08,1,1,1,0,1,1,0,1,0,1.0
b8af34d45326efd631958c2e4c4ca125,0,0,1,0,1,0,1,1,1,1.0
915ceea06887d6f09ba9b6428e304511,1,1,1,0,1,1,0,1,1,0.88
8eaadfcb8902c35bc11e5ae1c8639892,1,0,1,0,1,0,0,1,0,0.88
74ce38319e9d0f800f35f48f4162c9f1,0,0,1,1,0,0,0,1,1,0.85
51ddbc7f7eacf0ea460a7895de3e2e10,1,0,1,0,0,0,0,1,0,0.6
375c9f81952e5da9fc1e5f5bf9fcf0bb,0,0,1,1,0,1,1,0,1,0.56
1c29ceaed071cc86298c79e566233ea5,1,0,1,0,1,0,0,0,1,0.95
9f13cf7e7d7fdd1d30c1220707501993,0,0,1,0,0,0,0,0,0,0.65
6fd0cef8b483042e59a31e48ccd7b55c,0,0,1,1,1,0,0,0,0,0.8
10cafedb98461e0cc713b7e186bb343d,1,0,1,1,1,0,0,0,0,0.65
45cc2481407de2e39e65d84dbe9a36bb,1,0,1,0,1,0,0,0,0,0.9
12e04dc237e84fb96ae79107c483c380,0,0,1,1,0,0,0,0,0,0.65
cd6e6f55c5f29dadd7af0d590e68bdc1,1,0,1,1,1,0,0,0,0,0.4
de5298c05b3228e27288d4bad0d259b5,0,0,1,0,1,0,0,0,0,0.6
809380c58fbf2d187a3ebff91f37b229,1,0,0,0,1,1,0,0,1,0.5
1e7e71f02edee795c440039bec2a9229,1,0,1,1,1,0,0,0,1,0.9
1c349c3eb06025e5ccc0a215cc9ad35f,0,0,0,1,1,0,0,0,0,0.75
035c2f163c323880b81f7ba756ef9989,1,0,1,1,1,0,0,0,1,0.95
108bd04ed6e2ad2619970763de1776ef,0,0,0,0,0,0,0,0,0,0.0
61d68c1e8cd66a2cff6b98a539a30d37,1,0,1,1,1,0,0,0,0,0.88
091cbf16b7d7bad3e5df864638c62903,0,0,1,0,1,0,0,0,0,0.5
e482f876fe630637ed1c6110c29ffe5c,0,0,1,0,0,0,0,1,1,0.15
775baaf92e27ec5c2dd4636a2ebdcc6a,0,0,0,0,0,0,0,0,0,0.0
056bdb4edcb6f1fa3cb6e7ede99d87e6,0,0,1,0,0,1,0,0,0,0.7
9865961c9c88f130777ac271505834de,0,0,1,0,0,0,0,0,0,0.65
624a61346ee721323b887af8fed7eac7,1,0,1,1,1,1,0,0,1,0.88
8cabafe2ca75e7c5847243dd2d7726e9,1,0,1,0,1,0,0,0,1,0.8
eef1f460ffd371c2e5c20d78f148817f,0,0,1,0,0,0,0,0,0,0.6
0cd0c28390bdb06bc0b84f864bc066c5,0,0,0,0,0,0,0,0,0,0.0
b987f8fb47ae6497f73ee45146d8b75a,1,0,1,1,1,0,0,1,0,0.88
89ad3f7cd8a0f565e72fb79af368ec39,0,0,1,0,1,0,0,0,1,0.5
ad1aa306048af72b3d93c48d382e7205,1,0,0,1,0,0,0,0,0,0.7
208d7d7d84e0b19d8f001773337b4f52,1,0,1,0,1,0,0,0,0,0.75
6481bb938829a9dd38a1a52c097c5126,1,0,1,1,1,0,1,0,0,0.8
2f364b354aba0283902a93554f35f1a6,0,0,1,0,0,0,1,0,0,0.5
47335fa94919e97d7398189dafb3e5c0,1,0,1,0,1,0,0,0,1,1.0
e701e12a355a589e8777a54a88d7f0a4,1,0,1,0,1,0,0,1,0,0.95
bb6e55e505a6234731461f16493c4a61,0,0,1,1,0,1,1,1,1,1.0
658c5c5021a92cb8c740046cf06d663b,1,0,1,0,1,0,0,0,1,0.7
b05a860f2007c94a3ee35a06752a5c14,0,0,1,1,0,1,0,0,0,0.75
a5409a8056b395a7e740869a7cef05ae,0,0,1,1,0,0,0,0,0,1.0
e131a20f658a452fbd1a650d01d4281f,1,0,1,0,1,1,0,0,0,0.95
f67d6366cd6c0b9e461783351902eefe,0,0,1,1,1,0,0,1,0,0.88
445ce3bfcc3e0e2cff35aee3923f11b9,0,0,1,0,0,1,0,0,0,0.65
1168e7bb170ac71ee573c7771626e22e,0,0,1,0,1,0,1,0,1,0.8
8c5cc3b9f270757567b8efadbc9cb506,0,0,1,0,0,0,0,1,0,0.9
dd18b61a0949d36c24926ce347eaa5ef,0,0,1,0,0,0,0,0,1,1.0
a405e454b524415ebaa51ed8262f6555,0,0,1,0,1,0,0,0,0,0.85
5f4219073cdb4ab90af7fb878bde2ad9,0,0,1,1,0,0,1,0,0,0.85
ffcbd8b01551819a4204e7d1e63dfef0,0,0,0,0,0,0,0,0,0,0.0
ed18042a7d02be0fd40259d047b3989e,1,0,1,1,0,0,1,0,0,0.6
03d07d645997a8aa7eb3d739a951dc77,0,0,1,0,0,0,0,0,0,0.4
e239ae9b09713136237396d968225eb0,1,0,1,0,0,0,1,0,0,0.8
aaba95ed456dd2e851afc04391b518bb,0,0,1,0,0,0,0,0,0,0.9
26cfe8db9961fe19b101548db9c9d3b4,1,0,1,0,1,0,0,0,1,0.8
07dcf54484cec166857559a76ff4afe8,0,0,1,1,1,1,0,0,0,0.88
9a938fd1b8fd01926c2ac3e9ebea8bad,0,0,1,0,0,0,0,0,1,0.9
64128cc76e7db51256e042661fff77cb,0,1,1,0,0,1,1,0,1,1.0
4f0da78d71f8c741ac8add282a1d1a77,1,0,1,0,0,1,0,0,1,1.0
95e5332c0b0732e0e37f20f0367e8c15,1,0,1,0,1,0,0,0,0,1.0
74dec6fac4e75042bbbc30f2a652ca27,0,0,1,0,1,0,0,0,0,0.65
00f519bb9a67b464ecab71f3b57fe021,0,0,1,0,1,0,0,0,0,0.85
0bfec56634f5a93b60bd6d91cc142755,1,0,1,1,0,1,0,1,0,0.7
3f29a2e9a8d86cf4cf9e7d0d529f6da7,1,0,1,0,1,0,0,1,0,0.8
3c1130e8d29cae8abb5a455841b1e32f,0,0,0,0,0,0,0,0,0,0.0
98ac09b2c9328574afbefc706ab79ec2,0,0,0,0,0,0,0,0,0,0.0
4a03731e5be2b527de3a20d589889d05,1,0,1,0,0,1,0,1,0,0.5
6dbbf920d25060b866774ec69c748628,0,0,1,0,1,0,0,0,1,1.0
d53c53e45fe8364078094fe28ec52c6f,0,0,1,0,1,0,0,0,0,0.5
5def979393e9473da17fa9d72be3047c,1,0,0,1,0,0,0,0,0,0.4
e364b8a8d0183da2d9676d8907b95e55,0,0,1,1,1,1,0,0,1,1.0
8a2ccc5ce40f8759e924ef742a836435,0,0,1,0,1,0,0,0,0,0.85
6c474f1ce11f4c3c4afb5c683a46754c,0,0,1,0,0,0,0,0,1,0.75
49c77c5e724159e06a73ab4c39dd151f,0,0,1,0,0,1,0,0,1,0.75
e56baa913463e1c5a21df4f4e563c565,1,0,1,0,1,0,0,0,0,0.95
f30c84c7df0be18fcf8071ced17becb6,0,0,0,0,0,0,0,0,0,0.0
87192dc69be43d176c540bdd6407b37d,0,0,1,0,0,0,0,1,0,0.85
3f5ddbb6dbe25fa126ae87bc11ea56f8,0,0,1,1,1,0,0,0,1,0.95
10dfa3454869bfae16fa1ada40d4eea0,0,0,1,1,1,0,1,0,1,1.0
cc74af2802f44d4dd32ff43c7035e086,1,0,1,0,1,0,0,0,1,0.0
ed586e8c64310604e81c09eab76f45e3,0,0,1,0,1,0,0,0,0,0.85
892adc9386a49de46f5640a0c9fade47,0,0,1,1,0,0,0,1,0,0.25
d2b0d015ec81981be5ac318b6ff2c30e,0,1,1,1,0,1,0,0,1,1.0
91eb29ee999b738cac9b15b339cc79e1,0,0,1,0,1,0,0,0,0,0.95
79afddaced6c773e45347fd7982fb54d,0,0,1,0,1,0,0,0,1,1.0
403a05fd0bcd4addf67ce479533c4159,0,0,1,1,1,0,0,1,0,0.69
c7daf68382ba769cc135ad1301141fb8,1,0,1,0,1,1,0,0,0,0.75
a0322a28d3898a031798a6cee6af4178,0,0,1,1,1,0,0,1,1,0.95
f7fda6adc7b4f3b02e958f2d6b3d96e9,0,0,0,0,0,0,0,0,0,0.0
64ee183c1ed20833aefaacf4daa60f67,0,0,0,0,0,0,0,0,0,0.0
34ce67a2b91a9f3310ff0e93ef1a9c45,0,0,1,0,0,1,1,1,1,0.7
9086ffc9bd11901abadbe95477d2292c,0,0,1,0,1,0,0,1,0,0.88
2a6cb06588a72b29abded5a54d4991c6,1,1,1,1,1,0,0,0,0,0.88
7340ac6989d2ee98c2ea47882d5c3032,0,0,1,0,1,0,0,1,0,1.0
b03dbc813da7be54a82dfe329a859b44,1,0,1,0,1,0,1,0,0,0.88
c7d1d9c68e49fc55e779a44b4d176400,0,0,1,0,1,0,0,0,1,0.9
aca2b1ba75453033e32a15383895ef5a,1,0,1,0,1,0,0,0,0,0.75
761c1c9b8459ec1b129a8d9b5d587f57,1,0,1,1,1,0,0,1,0,0.38
d1bff6709d7728e5a45af677ae0b75c1,0,0,1,0,1,0,0,0,1,0.75
d0a3fba491eba5731343558ae81076d4,1,0,1,1,1,0,0,0,0,0.55
cb8cf42d095c349f8a1b3797b91c8294,1,0,0,0,1,0,0,0,0,1.0
3536d62c26ca741b459c426edcf8c53f,1,0,1,0,0,0,1,0,0,0.85
40f310f15c326b49d534adb6e15cf073,0,0,1,1,1,0,0,0,0,0.62
5e3d220728b3995577e63f5641e81516,0,0,1,0,0,0,0,0,1,0.7
527dbc614d8db1a8fa3a2905050e4b38,1,0,1,0,1,1,0,0,1,0.8
b29f6499069390727264f92b4fab2539,0,0,1,1,0,0,0,0,0,0.45
5c5a89dcd8685f5e85e1b0e328cfdc41,0,0,0,0,0,0,0,0,0,0.0
